model,training_mode,dataset_config,split_type,fold,accuracy,precision,recall,f1,auroc,recall_malignant,n_params,n_trainable_params,model_size_mb,training_time_sec,avg_epoch_time_sec,inference_time_ms_per_image,end_to_end_inference_time_ms_per_image,model_only_inference_time_ms_per_image,model_only_inference_time_ms_std
baseline_cnn,from_scratch,diversity_1p5GB,image_wise,,0.8755868544600939,0.8805307760927743,0.8761269701311584,0.8752837849034717,0.9625923068444836,0.933649289099526,258529,258529,3.19,199.7,5.39,0.489,,,
baseline_cnn,from_scratch,diversity_1p5GB,patient_wise,,0.5578778135048231,0.2789389067524115,0.5,0.3581011351909184,0.9364841498559078,0.0,258529,258529,3.19,78.66,7.86,0.5,,,
baseline_cnn,from_scratch,diversity_1p5GB,kfold_patient_wise,0.0,0.6008064516129032,0.7795100222717148,0.5959183673469388,0.5195303326810177,0.8202618099032442,0.1918367346938775,258529,258529,3.19,122.81,6.46,0.624,,,
baseline_cnn,from_scratch,diversity_1p5GB,kfold_patient_wise,1.0,0.7247956403269755,0.7586488184094822,0.736600180579496,0.7211435019747978,0.7641870564795952,0.9032258064516128,258529,258529,3.19,94.45,6.29,0.458,,,
baseline_cnn,from_scratch,diversity_1p5GB,kfold_patient_wise,2.0,0.5310924369747899,0.2655462184873949,0.5,0.3468715697036224,0.7694750691892381,1.0,258529,258529,3.19,75.67,7.56,0.483,,,
baseline_cnn,from_scratch,diversity_1p5GB,kfold_patient_wise,3.0,0.7358156028368794,0.8145694331857579,0.755446547249826,0.7270627973822245,0.8694727514399646,0.5147540983606558,258529,258529,3.19,75.68,7.56,0.556,,,
baseline_cnn,from_scratch,diversity_1p5GB,kfold_patient_wise,4.0,0.8997772828507795,0.9081632653061223,0.9096385542168676,0.8997693280750056,0.9554016064257028,1.0,258529,258529,3.19,114.82,6.04,0.686,,,
mobilenetv2,frozen,diversity_1p5GB,kfold_patient_wise,0.0,0.6209677419354839,0.728,0.37142857142857144,0.4918918918918919,0.6720221156191561,0.37142857142857144,2259265,1281,9.194670677185059,89.85643829099718,6.881372442307811,4.4116904395225225,4.4116904395225225,2.6426651000292622,0.03429345697109002
mobilenetv2,finetuned,diversity_1p5GB,kfold_patient_wise,0.0,0.6048387096774194,0.6713286713286714,0.39183673469387753,0.4948453608247423,0.6591104967883568,0.39183673469387753,2259265,1512001,20.7274751663208,130.0276792500008,7.1913572499454155,4.773972782253798,4.773972782253798,2.6323505250729795,0.015545586512443543
efficientnetb0,frozen,diversity_1p5GB,kfold_patient_wise,0.0,0.6612903225806451,0.8532110091743119,0.3795918367346939,0.5254237288135594,0.7745182535165461,0.3795918367346939,4050852,1281,16.2753963470459,91.19797220899636,10.088616301001618,6.27723647580898,6.27723647580898,6.696835937509604,0.12157118950236061
efficientnetb0,finetuned,diversity_1p5GB,kfold_patient_wise,0.0,0.6754032258064516,0.8442622950819673,0.4204081632653061,0.5613079019073569,0.7877551020408163,0.4204081632653061,4050852,1484641,27.602157592773438,152.91346779200103,10.877593631000698,6.646597278221076,6.646597278221076,6.744500512468221,0.06814655048875919
mobilenetv2,frozen,diversity_1p5GB,kfold_patient_wise,1.0,0.5613079019073569,0.5203426124197003,0.7126099706744868,0.6014851485148515,0.6356099781364495,0.7126099706744868,2259265,1281,9.194818496704102,39.45476200000121,6.53262526383575,5.320413544953595,5.320413544953595,2.7042515624998487,0.0666492303775137
mobilenetv2,finetuned,diversity_1p5GB,kfold_patient_wise,1.0,0.5544959128065395,0.5150214592274678,0.7038123167155426,0.5947955390334573,0.6536753897009991,0.7038123167155426,2259265,1512001,20.727622985839844,95.98329329099943,7.342698467847815,6.407413658035627,6.407413658035627,2.7200828124477994,0.07234052465429235
efficientnetb0,frozen,diversity_1p5GB,kfold_patient_wise,1.0,0.6512261580381471,0.5995316159250585,0.750733137829912,0.6666666666666666,0.69396998798624,0.750733137829912,4050852,1281,16.2753963470459,110.33095337499981,9.139009885581496,7.846039111722576,7.846039111722576,6.7886536374317075,0.04398122398533309
efficientnetb0,finetuned,diversity_1p5GB,kfold_patient_wise,1.0,0.6430517711171662,0.5895691609977324,0.7624633431085044,0.6649616368286445,0.693447650601061,0.7624633431085044,4050852,1484641,27.602157592773438,180.20404091600358,9.957113340387473,8.628350987740426,8.628350987740426,6.8728557249414735,0.1429346451282014
mobilenetv2,frozen,diversity_1p5GB,kfold_patient_wise,2.0,0.7142857142857143,0.7703703703703704,0.6582278481012658,0.7098976109215017,0.8073136427566807,0.6582278481012658,2259265,1281,9.194818496704102,68.0931754169942,6.763207683199289,6.251210294125363,6.251210294125363,2.734528124983626,0.016909922985529836
mobilenetv2,finetuned,diversity_1p5GB,kfold_patient_wise,2.0,0.6991596638655462,0.815668202764977,0.560126582278481,0.6641651031894934,0.8052152806134023,0.560126582278481,2259265,1512001,20.727622985839844,109.64071012499335,7.26660873599952,7.058751470584935,7.058751470584935,2.8683770749921678,0.07440324111959253
