model_source,subgroup_type,subgroup_value,n,accuracy,precision,recall,f1,auroc,specificity,recall_malignant,recall_benign,tn,fp,fn,tp
cnn_baseline_from_scratch,subtype_name,adenosis,444,0.9932432432432432,0.0,0.0,0.0,,0.9932432432432432,,0.9932432432432432,441,3,0,0
cnn_baseline_from_scratch,subtype_name,tubular_adenoma,247,0.7125506072874493,0.0,0.0,0.0,,0.7125506072874493,,0.7125506072874493,176,71,0,0
cnn_baseline_from_scratch,subtype_name,papillary_carcinoma,291,0.422680412371134,1.0,0.422680412371134,0.5942028985507246,,,0.422680412371134,,0,0,168,123
cnn_baseline_from_scratch,subtype_name,ductal_carcinoma,219,0.8401826484018264,1.0,0.8401826484018264,0.913151364764268,,,0.8401826484018264,,0,0,35,184
cnn_baseline_from_scratch,subtype_name,mucinous_carcinoma,271,0.6789667896678967,1.0,0.6789667896678967,0.8087912087912088,,,0.6789667896678967,,0,0,87,184
cnn_baseline_from_scratch,subtype_name,phyllodes_tumor,453,0.39293598233995586,0.0,0.0,0.0,,0.39293598233995586,,0.39293598233995586,178,275,0,0
cnn_baseline_from_scratch,subtype_name,fibroadenoma,287,0.49477351916376305,0.0,0.0,0.0,,0.49477351916376305,,0.49477351916376305,142,145,0,0
cnn_baseline_from_scratch,subtype_name,lobular_carcinoma,626,0.8578274760383386,1.0,0.8578274760383386,0.9234737747205503,,,0.8578274760383386,,0,0,89,537
cnn_baseline_from_scratch,magnification,100X,743,0.6944818304172274,0.6666666666666666,0.7828418230563002,0.720098643649815,0.7453372943989566,0.6054054054054054,0.7828418230563002,0.6054054054054054,224,146,81,292
cnn_baseline_from_scratch,magnification,40X,712,0.6615168539325843,0.6512261580381471,0.6789772727272727,0.6648122392211405,0.6984217171717171,0.6444444444444445,0.6789772727272727,0.6444444444444445,232,128,113,239
cnn_baseline_from_scratch,magnification,200X,728,0.7651098901098901,0.7525252525252525,0.8032345013477089,0.7770534550195567,0.7891231964483907,0.7254901960784313,0.8032345013477089,0.7254901960784313,259,98,73,298
cnn_baseline_from_scratch,magnification,400X,655,0.6427480916030535,0.6199376947040498,0.639871382636656,0.629746835443038,0.6879907275854333,0.6453488372093024,0.639871382636656,0.6453488372093024,222,122,112,199
efficientnetb0_finetuned,subtype_name,adenosis,444,0.6824324324324325,0.0,0.0,0.0,,0.6824324324324325,,0.6824324324324325,303,141,0,0
efficientnetb0_finetuned,subtype_name,tubular_adenoma,247,0.9149797570850202,0.0,0.0,0.0,,0.9149797570850202,,0.9149797570850202,226,21,0,0
efficientnetb0_finetuned,subtype_name,papillary_carcinoma,291,0.5738831615120275,1.0,0.5738831615120275,0.7292576419213974,,,0.5738831615120275,,0,0,124,167
efficientnetb0_finetuned,subtype_name,ductal_carcinoma,219,0.9452054794520548,1.0,0.9452054794520548,0.971830985915493,,,0.9452054794520548,,0,0,12,207
efficientnetb0_finetuned,subtype_name,mucinous_carcinoma,271,0.5756457564575646,1.0,0.5756457564575646,0.7306791569086651,,,0.5756457564575646,,0,0,115,156
efficientnetb0_finetuned,subtype_name,phyllodes_tumor,453,0.5916114790286976,0.0,0.0,0.0,,0.5916114790286976,,0.5916114790286976,268,185,0,0
efficientnetb0_finetuned,subtype_name,fibroadenoma,287,0.6689895470383276,0.0,0.0,0.0,,0.6689895470383276,,0.6689895470383276,192,95,0,0
efficientnetb0_finetuned,subtype_name,lobular_carcinoma,626,0.9217252396166135,1.0,0.9217252396166135,0.9592684954280964,,,0.9217252396166135,,0,0,49,577
efficientnetb0_finetuned,magnification,100X,743,0.7496635262449529,0.7231503579952268,0.8123324396782842,0.7651515151515151,0.8177161075284399,0.6864864864864865,0.8123324396782842,0.6864864864864865,254,116,70,303
efficientnetb0_finetuned,magnification,40X,712,0.7148876404494382,0.7029972752043597,0.7329545454545454,0.717663421418637,0.7764914772727272,0.6972222222222222,0.7329545454545454,0.6972222222222222,251,109,94,258
efficientnetb0_finetuned,magnification,200X,728,0.7527472527472527,0.7381546134663342,0.7978436657681941,0.7668393782383419,0.8246845908174592,0.7058823529411765,0.7978436657681941,0.7058823529411765,252,105,75,296
efficientnetb0_finetuned,magnification,400X,655,0.7358778625954199,0.6906077348066298,0.8038585209003215,0.7429420505200595,0.7933990129365138,0.6744186046511628,0.8038585209003215,0.6744186046511628,232,112,61,250
