subtype_name,magnification,TP,TN,FP,FN,n,errors,error_rate
adenosis,100X,0,77,36,0,113,36,0.3185840707964602
adenosis,200X,0,72,39,0,111,39,0.35135135135135137
adenosis,400X,0,73,33,0,106,33,0.3113207547169811
adenosis,40X,0,81,33,0,114,33,0.2894736842105263
ductal_carcinoma,100X,53,0,0,1,54,1,0.018518518518518517
ductal_carcinoma,200X,60,0,0,6,66,6,0.09090909090909091
ductal_carcinoma,400X,52,0,0,2,54,2,0.037037037037037035
ductal_carcinoma,40X,42,0,0,3,45,3,0.06666666666666667
fibroadenoma,100X,0,46,28,0,74,28,0.3783783783783784
fibroadenoma,200X,0,46,26,0,72,26,0.3611111111111111
fibroadenoma,400X,0,47,16,0,63,16,0.25396825396825395
fibroadenoma,40X,0,53,25,0,78,25,0.32051282051282054
lobular_carcinoma,100X,164,0,0,6,170,6,0.03529411764705882
lobular_carcinoma,200X,154,0,0,9,163,9,0.05521472392638037
lobular_carcinoma,400X,123,0,0,14,137,14,0.10218978102189781
lobular_carcinoma,40X,136,0,0,20,156,20,0.1282051282051282
mucinous_carcinoma,100X,42,0,0,32,74,32,0.43243243243243246
mucinous_carcinoma,200X,47,0,0,26,73,26,0.3561643835616438
mucinous_carcinoma,400X,30,0,0,23,53,23,0.4339622641509434
mucinous_carcinoma,40X,37,0,0,34,71,34,0.4788732394366197
papillary_carcinoma,100X,44,0,0,31,75,31,0.41333333333333333
papillary_carcinoma,200X,35,0,0,34,69,34,0.4927536231884058
papillary_carcinoma,400X,45,0,0,22,67,22,0.3283582089552239
papillary_carcinoma,40X,43,0,0,37,80,37,0.4625
phyllodes_tumor,100X,0,71,50,0,121,50,0.4132231404958678
phyllodes_tumor,200X,0,73,35,0,108,35,0.32407407407407407
phyllodes_tumor,400X,0,61,54,0,115,54,0.46956521739130436
phyllodes_tumor,40X,0,63,46,0,109,46,0.42201834862385323
tubular_adenoma,100X,0,60,2,0,62,2,0.03225806451612903
tubular_adenoma,200X,0,61,5,0,66,5,0.07575757575757576
tubular_adenoma,400X,0,51,9,0,60,9,0.15
tubular_adenoma,40X,0,54,5,0,59,5,0.0847457627118644
