model,training_mode,magnification,n,accuracy,precision,recall,f1,auroc,specificity,recall_malignant,recall_benign,tn,fp,fn,tp
efficientnetb0,finetuned,40X,712,0.7148876404494382,0.7029972752043597,0.7329545454545454,0.717663421418637,0.7764914772727272,0.6972222222222222,0.7329545454545454,0.6972222222222222,251,109,94,258
efficientnetb0,finetuned,100X,743,0.7496635262449529,0.7231503579952268,0.8123324396782842,0.7651515151515151,0.8177161075284399,0.6864864864864865,0.8123324396782842,0.6864864864864865,254,116,70,303
efficientnetb0,finetuned,200X,728,0.7527472527472527,0.7381546134663342,0.7978436657681941,0.7668393782383419,0.8246845908174592,0.7058823529411765,0.7978436657681941,0.7058823529411765,252,105,75,296
efficientnetb0,finetuned,400X,655,0.7358778625954199,0.6906077348066298,0.8038585209003215,0.7429420505200595,0.7933990129365138,0.6744186046511628,0.8038585209003215,0.6744186046511628,232,112,61,250
efficientnetb0,frozen,40X,712,0.7008426966292135,0.6914600550964187,0.7130681818181818,0.7020979020979021,0.7599273989898989,0.6888888888888889,0.7130681818181818,0.6888888888888889,248,112,101,251
efficientnetb0,frozen,100X,743,0.7429340511440108,0.7198067632850241,0.7989276139410187,0.7573062261753494,0.8012317947974785,0.6864864864864865,0.7989276139410187,0.6864864864864865,254,116,75,298
efficientnetb0,frozen,200X,728,0.7362637362637363,0.72544080604534,0.7762803234501348,0.75,0.8065641350879975,0.6946778711484594,0.7762803234501348,0.6946778711484594,248,109,83,288
efficientnetb0,frozen,400X,655,0.7175572519083969,0.6769662921348315,0.77491961414791,0.7226386806596702,0.7835938084199506,0.6656976744186046,0.77491961414791,0.6656976744186046,229,115,70,241
mobilenetv2,finetuned,40X,712,0.6376404494382022,0.6243386243386243,0.6704545454545454,0.6465753424657534,0.6917140151515151,0.6055555555555555,0.6704545454545454,0.6055555555555555,218,142,116,236
mobilenetv2,finetuned,100X,743,0.620457604306864,0.6096385542168675,0.67828418230563,0.6421319796954315,0.686341569451489,0.5621621621621622,0.67828418230563,0.5621621621621622,208,162,120,253
mobilenetv2,finetuned,200X,728,0.6043956043956044,0.6143250688705234,0.601078167115903,0.6076294277929155,0.6441822011823597,0.6078431372549019,0.601078167115903,0.6078431372549019,217,140,148,223
mobilenetv2,finetuned,400X,655,0.5877862595419847,0.5667752442996743,0.5594855305466238,0.5631067961165048,0.6464705002617214,0.6133720930232558,0.5594855305466238,0.6133720930232558,211,133,137,174
mobilenetv2,frozen,40X,712,0.6418539325842697,0.6221662468513854,0.7017045454545454,0.6595460614152203,0.686529356060606,0.5833333333333334,0.7017045454545454,0.5833333333333334,210,150,105,247
mobilenetv2,frozen,100X,743,0.620457604306864,0.6060606060606061,0.6970509383378016,0.6483790523690773,0.6925585102528802,0.5432432432432432,0.6970509383378016,0.5432432432432432,201,169,113,260
mobilenetv2,frozen,200X,728,0.6181318681318682,0.6317280453257791,0.601078167115903,0.6160220994475138,0.6480629987844194,0.6358543417366946,0.601078167115903,0.6358543417366946,227,130,148,223
mobilenetv2,frozen,400X,655,0.5923664122137404,0.5723684210526315,0.5594855305466238,0.5658536585365853,0.6512375682345024,0.622093023255814,0.5594855305466238,0.622093023255814,214,130,137,174
