subtype_name,magnification,n,accuracy,precision,recall,f1,auroc,specificity,recall_malignant,recall_benign,tn,fp,fn,tp,class_membership,relevant_class_recall
adenosis,40X,114,0.7105263157894737,0.0,0.0,0.0,,0.7105263157894737,,0.7105263157894737,81,33,0,0,benign,0.7105263157894737
adenosis,100X,113,0.6814159292035398,0.0,0.0,0.0,,0.6814159292035398,,0.6814159292035398,77,36,0,0,benign,0.6814159292035398
adenosis,200X,111,0.6486486486486487,0.0,0.0,0.0,,0.6486486486486487,,0.6486486486486487,72,39,0,0,benign,0.6486486486486487
adenosis,400X,106,0.6886792452830188,0.0,0.0,0.0,,0.6886792452830188,,0.6886792452830188,73,33,0,0,benign,0.6886792452830188
ductal_carcinoma,40X,45,0.9333333333333333,1.0,0.9333333333333333,0.9655172413793104,,,0.9333333333333333,,0,0,3,42,malignant,0.9333333333333333
ductal_carcinoma,100X,54,0.9814814814814815,1.0,0.9814814814814815,0.9906542056074766,,,0.9814814814814815,,0,0,1,53,malignant,0.9814814814814815
ductal_carcinoma,200X,66,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523,,,0.9090909090909091,,0,0,6,60,malignant,0.9090909090909091
ductal_carcinoma,400X,54,0.9629629629629629,1.0,0.9629629629629629,0.9811320754716981,,,0.9629629629629629,,0,0,2,52,malignant,0.9629629629629629
fibroadenoma,40X,78,0.6794871794871795,0.0,0.0,0.0,,0.6794871794871795,,0.6794871794871795,53,25,0,0,benign,0.6794871794871795
fibroadenoma,100X,74,0.6216216216216216,0.0,0.0,0.0,,0.6216216216216216,,0.6216216216216216,46,28,0,0,benign,0.6216216216216216
fibroadenoma,200X,72,0.6388888888888888,0.0,0.0,0.0,,0.6388888888888888,,0.6388888888888888,46,26,0,0,benign,0.6388888888888888
fibroadenoma,400X,63,0.746031746031746,0.0,0.0,0.0,,0.746031746031746,,0.746031746031746,47,16,0,0,benign,0.746031746031746
lobular_carcinoma,40X,156,0.8717948717948718,1.0,0.8717948717948718,0.9315068493150684,,,0.8717948717948718,,0,0,20,136,malignant,0.8717948717948718
lobular_carcinoma,100X,170,0.9647058823529412,1.0,0.9647058823529412,0.9820359281437125,,,0.9647058823529412,,0,0,6,164,malignant,0.9647058823529412
lobular_carcinoma,200X,163,0.9447852760736196,1.0,0.9447852760736196,0.9716088328075709,,,0.9447852760736196,,0,0,9,154,malignant,0.9447852760736196
lobular_carcinoma,400X,137,0.8978102189781022,1.0,0.8978102189781022,0.9461538461538461,,,0.8978102189781022,,0,0,14,123,malignant,0.8978102189781022
mucinous_carcinoma,40X,71,0.5211267605633803,1.0,0.5211267605633803,0.6851851851851852,,,0.5211267605633803,,0,0,34,37,malignant,0.5211267605633803
mucinous_carcinoma,100X,74,0.5675675675675675,1.0,0.5675675675675675,0.7241379310344828,,,0.5675675675675675,,0,0,32,42,malignant,0.5675675675675675
mucinous_carcinoma,200X,73,0.6438356164383562,1.0,0.6438356164383562,0.7833333333333333,,,0.6438356164383562,,0,0,26,47,malignant,0.6438356164383562
mucinous_carcinoma,400X,53,0.5660377358490566,1.0,0.5660377358490566,0.7228915662650602,,,0.5660377358490566,,0,0,23,30,malignant,0.5660377358490566
papillary_carcinoma,40X,80,0.5375,1.0,0.5375,0.6991869918699187,,,0.5375,,0,0,37,43,malignant,0.5375
papillary_carcinoma,100X,75,0.5866666666666667,1.0,0.5866666666666667,0.7394957983193278,,,0.5866666666666667,,0,0,31,44,malignant,0.5866666666666667
papillary_carcinoma,200X,69,0.5072463768115942,1.0,0.5072463768115942,0.6730769230769231,,,0.5072463768115942,,0,0,34,35,malignant,0.5072463768115942
papillary_carcinoma,400X,67,0.6716417910447762,1.0,0.6716417910447762,0.8035714285714286,,,0.6716417910447762,,0,0,22,45,malignant,0.6716417910447762
phyllodes_tumor,40X,109,0.5779816513761468,0.0,0.0,0.0,,0.5779816513761468,,0.5779816513761468,63,46,0,0,benign,0.5779816513761468
phyllodes_tumor,100X,121,0.5867768595041323,0.0,0.0,0.0,,0.5867768595041323,,0.5867768595041323,71,50,0,0,benign,0.5867768595041323
phyllodes_tumor,200X,108,0.6759259259259259,0.0,0.0,0.0,,0.6759259259259259,,0.6759259259259259,73,35,0,0,benign,0.6759259259259259
phyllodes_tumor,400X,115,0.5304347826086957,0.0,0.0,0.0,,0.5304347826086957,,0.5304347826086957,61,54,0,0,benign,0.5304347826086957
tubular_adenoma,40X,59,0.9152542372881356,0.0,0.0,0.0,,0.9152542372881356,,0.9152542372881356,54,5,0,0,benign,0.9152542372881356
tubular_adenoma,100X,62,0.967741935483871,0.0,0.0,0.0,,0.967741935483871,,0.967741935483871,60,2,0,0,benign,0.967741935483871
tubular_adenoma,200X,66,0.9242424242424242,0.0,0.0,0.0,,0.9242424242424242,,0.9242424242424242,61,5,0,0,benign,0.9242424242424242
tubular_adenoma,400X,60,0.85,0.0,0.0,0.0,,0.85,,0.85,51,9,0,0,benign,0.85
